approach,library_id,link_type,claim_1_text,claim_2_text,reasoning,claim_id_1,claim_id_2
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,"The increase in glutamate efflux in the prefrontal cortex produced by phencyclidine (PCP) and ketamine contributes to the dopaminergic, motoric, and cognitive effects of these psychotomimetic drugs.","The increase in glutamate efflux in the prefrontal cortex produced by phencyclidine (PCP) and ketamine contributes to the dopaminergic, motoric, and cognitive effects of these psychotomimetic drugs.","Both claims state identically that PCP and ketamine increase glutamate efflux in the prefrontal cortex contributing to dopaminergic, motoric, and cognitive effects.",3610ee8a-4b5d-40c5-a800-21bdec74117f,66319bf8-0459-4763-8cea-9412aba98c25
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,PCP-activated glutamate efflux in the prefrontal cortex is independent of dopaminergic and 5-HT2A-mediated mechanisms.,PCP-activated glutamate efflux in the prefrontal cortex is independent of dopaminergic and 5-HT2A-mediated mechanisms.,Both claims assert the same point that PCP-activated glutamate efflux in PFC is independent of dopaminergic and 5-HT2A mechanisms.,f08ed696-e6ae-4062-9a3e-2a086d625f62,c1cc9e43-ed77-466f-98ee-a4ba62cb7888
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,The PCP glutamate activation model lacks predictive validity for conventional monoamine-based antipsychotic drugs.,The PCP glutamate activation model lacks predictive validity for conventional monoamine-based antipsychotic drugs.,Both claims state the PCP glutamate activation model lacks predictive validity for conventional monoamine-based antipsychotics.,a6a0b022-06db-4138-bd34-61d976fd59a6,fc094750-8733-464d-b345-437a216b0769
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,The NMDA antagonist model may be useful for designing novel drugs that target cognitive and other symptoms of schizophrenia that are not responsive to monoamine-based antipsychotic drugs.,The NMDA antagonist model may be useful for designing novel drugs that target cognitive and other symptoms of schizophrenia that are not responsive to monoamine-based antipsychotic drugs.,Both claims present the same assertion that the NMDA antagonist model may help design drugs for schizophrenia symptoms not responsive to monoamine antipsychotics.,bc25b976-8b05-4146-9fb5-13f238c08ee9,25286171-950a-4c3c-abf6-dbab297a47a8
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,"PKC regulates opposite facets of bipolar disorder, with its modulation affecting both manic and depressive dimensions of the illness.","PKC regulates opposite facets of bipolar disorder, with its modulation affecting both manic and depressive dimensions of the illness.",These two claims both state that PKC regulates opposite facets of bipolar disorder and that its modulation affects both manic and depressive dimensions.,38c47f6f-9f2f-4c59-95e5-89c32b7e6241,1b1b68ed-d73c-418f-abed-03484f767103
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,"Protein kinase C (PKC) plays a critical role in regulating mood and is involved in different facets of bipolar disorder, including both manic and depressive states.","Protein kinase C (PKC) plays a critical role in regulating mood and is involved in different facets of bipolar disorder, including both manic and depressive states.",Both claims assert that PKC plays a critical role in regulating mood and is involved in both manic and depressive states of bipolar disorder.,679feb8f-e96a-4b0e-a6bc-f3447c3b774b,44d9d6c3-956a-4cda-9524-e2ff9c9eeb31
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,"PKC inhibition produces antimanic-like effects in rats, as demonstrated by reduced amphetamine-induced hyperlocomotion and decreased risk-taking behavior.","PKC inhibition produces antimanic-like effects in rats, as demonstrated by reduced amphetamine-induced hyperlocomotion and decreased risk-taking behavior.",Both claims describe the same experimental finding that PKC inhibition produces antimanic-like effects in rats (reduced hyperlocomotion and risk-taking).,ae3c78a3-aaea-4b95-88c9-0997465c58c7,c989f22f-aa0e-401c-81e7-044a608fa580
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,Chronic PKC inhibition causes depressive-like behavior and reduces hippocampal cell proliferation in rats.,Chronic PKC inhibition causes depressive-like behavior and reduces hippocampal cell proliferation in rats.,Both claims report that chronic PKC inhibition causes depressive-like behavior and reduces hippocampal cell proliferation in rats.,9ccfdc45-aa16-4546-abcf-7333a5b07623,982b4346-2957-418d-8cf9-da662ceb1b52
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,"PKC activation induces manic-like and antidepressant-like effects, including enhanced risk-taking behavior and reduced immobility in the forced swim test.","PKC activation induces manic-like and antidepressant-like effects, including enhanced risk-taking behavior and reduced immobility in the forced swim test.",Both claims state that PKC activation induces manic-like and antidepressant-like effects including increased risk-taking and reduced immobility in forced swim tests.,bfdfd15f-1d66-4cb0-bef9-66b87c492ad1,8558ce87-1df5-4a7f-88b6-63efb39b40e9
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,duplicate,"PKC is implicated in adult hippocampal cell proliferation, with chronic PKC inhibition reducing the number of newly proliferating cells in the hippocampus.","PKC is implicated in adult hippocampal cell proliferation, with chronic PKC inhibition reducing the number of newly proliferating cells in the hippocampus.","Both claims indicate PKC is implicated in adult hippocampal cell proliferation, with chronic PKC inhibition reducing newly proliferating hippocampal cells.",f46b86ed-7e0f-49ea-a715-326d1b9e3bf5,250087d7-a16f-41a4-a719-305cb8574ec4
batch,b0b8ed2c-bcb1-4fd8-bb37-471becf9d253,variant,"Lithium treatment increases gray matter fraction, global cortical thickness, frontal and parietal cortical thickness, as well as volumes of putamen, hippocampus, thalamic nuclei, and thalamic substructures in bipolar disorder patients after 8 weeks.",Structural brain changes induced by lithium treatment correlate with gene expression changes in pathways involved in neurotrophic function and cell modeling.,"The first claim specifies the particular structural increases observed after lithium (gray matter, cortical thickness, specific subcortical volumes); the second makes a more general claim that lithium-induced structural changes correlate with gene-expression changes in neurotrophic pathways—these are complementary, with the first providing specific structural observations that the second refers to more generally.",33a04b51-6903-488b-91e5-7fd6dbb7c78f,9ed653c6-b9bf-45f1-aa0c-0e81fe511c50
